uid,startDateTime,startLat,startLon,stopDateTime,stopLat,stopLon
1,7/23/2023 6:00,19.81733333,-156.274,7/23/2023 6:34,19.75466667,-156.2033333
2,7/23/2023 6:55,19.71533333,-156.1568333,7/23/2023 7:53,19.60916522,-156.0363545
3,7/23/2023 12:01,19.8265,-156.1041667,7/23/2023 13:06,19.87666673,-156.266163
4,7/23/2023 13:15,19.88233333,-156.2903333,7/23/2023 14:03,19.91283367,-156.4111492
5,7/23/2023 14:27,19.92783333,-156.4755,7/23/2023 14:34,19.9330002,-156.4954889
6,7/23/2023 14:39,19.93583333,-156.5073333,7/23/2023 18:55,20.05616699,-157.2149853
