uid,startLat,startLon,stopLat,stopLon
1,19.81733333,-156.274,19.75466667,-156.2033333
2,19.71533333,-156.1568333,19.60916522,-156.0363545
3,19.8265,-156.1041667,19.87666673,-156.266163
4,19.88233333,-156.2903333,19.91283367,-156.4111492
5,19.92783333,-156.4755,19.9330002,-156.4954889
6,19.93583333,-156.5073333,20.05616699,-157.2149853
